name,latitude,longitude
Depósito, -20.311452898809208, -48.318699333259644
Jaú Supermercados - Av. São Carlos1,-22.00445540244756,-47.890387468888925
Jaú Supermercados - Av. São Carlos2,-21.998988598957133,-47.89130368562201
Jaú Supermercados - Vila Prado,-22.02854508568843,-47.898760506186456
Jaú Supermercados - Padre Teixeira,-22.01379122031548,-47.88809000618689
Jaú Supermercados - Raimundo Correa,-22.02834086773952,-47.8821656313205
Jaú Supermercados - Vila Nery,-22.011384609905207,-47.87295304666286
Jaú Supermercados - Redencao,-22.03296582800306,-47.90259957333544
Jaú Supermercados - Visconde,-22.021094172147524,-47.89647016079188
